Gmt time,Open,High,Low,Close,Volume
2023-10-23 18:00:00,214.236,215.377,214.016,214.346,2.47
2023-10-23 18:15:00,214.347,214.656,213.427,213.747,2.48
2023-10-23 18:30:00,213.777,214.207,213.036,213.127,2.57
2023-10-23 18:45:00,213.126,213.916,213.026,213.606,2.87
2023-10-23 19:00:00,213.607,214.527,212.656,212.866,3.01
2023-10-23 19:15:00,212.927,213.026,211.416,211.836,3.24
2023-10-23 19:30:00,211.856,212.427,211.406,212.367,3.52
2023-10-23 19:45:00,212.366,212.717,211.916,211.996,3.71
2023-10-24 13:30:00,216.396,219.307,214.797,219.187,7.86
2023-10-24 13:45:00,219.176,220.387,217.916,220.197,6.55
2023-10-24 14:00:00,220.226,222.017,219.436,220.986,7.08
2023-10-24 14:15:00,221.006,221.087,219.606,220.357,6.27
2023-10-24 14:30:00,220.336,220.537,218.586,218.936,4.97
2023-10-24 14:45:00,218.917,219.277,217.556,217.837,4.24
2023-10-24 15:00:00,217.836,218.657,217.206,217.346,4.35
2023-10-24 15:15:00,217.347,217.647,216.286,216.466,4.46
2023-10-24 15:30:00,216.467,217.197,215.966,216.577,4.52
2023-10-24 15:45:00,216.586,217.547,216.526,217.396,3.75
2023-10-24 16:00:00,217.397,217.607,216.286,216.367,3.57
2023-10-24 16:15:00,216.326,216.427,215.016,215.486,3.87
2023-10-24 16:30:00,215.517,215.567,214.096,214.356,3.54
2023-10-24 16:45:00,214.337,215.557,214.196,215.557,3.41
2023-10-24 17:00:00,215.526,216.567,215.466,216.236,3.26
2023-10-24 17:15:00,216.226,217.797,215.926,217.686,3.24
2023-10-24 17:30:00,217.686,218.306,217.426,217.827,3.3
2023-10-24 17:45:00,217.827,218.067,217.097,217.657,3.32
2023-10-24 18:00:00,217.686,217.927,216.996,217.437,3.1
2023-10-24 18:15:00,217.437,217.606,216.376,216.826,3.02
2023-10-24 18:30:00,216.886,217.437,216.506,216.726,3.16
2023-10-24 18:45:00,216.727,216.766,215.686,216.016,2.89
2023-10-24 19:00:00,216.017,216.466,215.676,215.996,3.17
2023-10-24 19:15:00,216.007,216.657,215.916,216.016,3.2
2023-10-24 19:30:00,216.026,216.637,215.906,216.596,3.26
2023-10-24 19:45:00,216.597,216.897,216.056,216.486,4.15
2023-10-25 13:30:00,215.827,218.547,214.227,216.897,7.14
2023-10-25 13:45:00,216.897,217.817,214.496,217.537,6.4
2023-10-25 14:00:00,217.546,219.206,215.717,215.937,6.59
2023-10-25 14:15:00,215.916,217.977,215.616,217.017,5.89
2023-10-25 14:30:00,217.016,218.877,216.886,218.137,5.73
2023-10-25 14:45:00,218.136,219.727,217.136,217.346,5.16
2023-10-25 15:00:00,217.347,219.657,217.316,219.616,5.48
2023-10-25 15:15:00,219.597,220.067,218.066,218.646,4.59
2023-10-25 15:30:00,218.637,218.846,216.866,217.076,4.15
2023-10-25 15:45:00,217.066,217.277,215.517,215.677,4.29
2023-10-25 16:00:00,215.677,216.286,215.026,216.147,4.22
2023-10-25 16:15:00,216.137,216.856,215.556,216.677,3.45
2023-10-25 16:30:00,216.666,217.086,215.536,216.046,3.67
2023-10-25 16:45:00,216.026,216.567,215.646,216.397,3.09
2023-10-25 17:00:00,216.397,216.776,215.026,215.516,3.49
2023-10-25 17:15:00,215.516,215.847,214.086,214.457,4.07
2023-10-25 17:30:00,214.427,215.047,212.936,213.076,4.12
2023-10-25 17:45:00,213.057,214.557,212.966,214.497,3.62
2023-10-25 18:00:00,214.496,215.337,214.317,215.206,3.56
2023-10-25 18:15:00,215.197,215.747,214.796,214.796,3.5
2023-10-25 18:30:00,214.796,215.126,213.787,213.877,3.55
2023-10-25 18:45:00,213.887,214.587,213.406,214.257,3.35
2023-10-25 19:00:00,214.256,214.396,213.157,213.227,3.65
2023-10-25 19:15:00,213.207,213.836,212.836,213.226,3.85
2023-10-25 19:30:00,213.247,213.796,212.847,212.847,4.18
2023-10-25 19:45:00,212.867,212.906,212.176,212.347,4.84
2023-10-26 13:30:00,211.266,214.747,208.576,209.826,7.61
2023-10-26 13:45:00,209.826,210.057,207.106,208.457,5.67
2023-10-26 14:00:00,208.376,210.147,207.106,209.256,5.23
2023-10-26 14:15:00,209.256,211.407,208.186,210.897,5.09
2023-10-26 14:30:00,210.896,212.017,209.716,212.017,4.38
2023-10-26 14:45:00,212.017,212.987,211.246,211.536,4.05
2023-10-26 15:00:00,211.507,211.567,209.126,209.916,4.11
2023-10-26 15:15:00,209.916,210.396,207.0,208.807,3.56
2023-10-26 15:30:00,208.816,209.436,206.556,206.967,3.71
2023-10-26 15:45:00,206.977,208.796,206.897,208.187,4.1
2023-10-26 16:00:00,208.187,208.336,206.596,206.817,4.44
2023-10-26 16:15:00,206.777,206.806,205.406,206.357,4.38
2023-10-26 16:30:00,206.357,206.727,204.866,206.027,4.39
2023-10-26 16:45:00,206.036,206.046,204.876,205.426,4.0
2023-10-26 17:00:00,205.476,206.966,205.197,206.696,4.59
2023-10-26 17:15:00,206.686,207.227,205.616,205.826,4.17
2023-10-26 17:30:00,205.776,206.636,205.206,206.397,4.11
2023-10-26 17:45:00,206.417,207.327,206.396,207.116,3.7
2023-10-26 18:00:00,207.117,207.997,206.696,207.637,4.11
2023-10-26 18:15:00,207.637,207.787,206.436,207.517,3.88
2023-10-26 18:30:00,207.517,208.346,207.166,207.736,4.04
2023-10-26 18:45:00,207.736,209.257,207.576,209.236,3.97
2023-10-26 19:00:00,209.226,209.556,208.346,208.397,4.13
2023-10-26 19:15:00,208.396,208.707,207.666,207.736,4.06
2023-10-26 19:30:00,207.737,207.757,205.876,206.007,5.43
2023-10-26 19:45:00,205.997,206.296,205.267,205.587,6.3
2023-10-27 13:30:00,210.496,212.357,209.097,210.627,7.9
2023-10-27 13:45:00,210.637,211.167,208.536,208.606,6.17
2023-10-27 14:00:00,208.607,211.637,207.707,211.007,6.8
2023-10-27 14:15:00,211.016,211.037,208.306,208.487,6.3
2023-10-27 14:30:00,208.497,208.726,206.656,206.696,5.33
2023-10-27 14:45:00,206.696,208.137,206.676,208.117,4.76
2023-10-27 15:00:00,208.107,209.006,207.596,208.956,4.73
2023-10-27 15:15:00,208.967,210.496,208.966,210.056,4.25
2023-10-27 15:30:00,210.066,210.226,208.996,209.876,4.19
2023-10-27 15:45:00,209.877,210.606,209.347,210.577,3.75
2023-10-27 16:00:00,210.556,210.827,209.476,209.476,3.99
2023-10-27 16:15:00,209.477,209.896,208.256,208.776,3.98
2023-10-27 16:30:00,208.777,209.236,208.247,208.546,3.3
2023-10-27 16:45:00,208.546,208.547,207.546,207.916,3.27
2023-10-27 17:00:00,207.916,208.057,207.236,207.706,3.65
2023-10-27 17:15:00,207.726,208.227,207.097,208.067,4.08
2023-10-27 17:30:00,208.077,208.347,207.196,207.897,4.23
2023-10-27 17:45:00,207.896,208.057,206.906,207.207,3.71
2023-10-27 18:00:00,207.186,207.267,206.516,207.187,4.07
2023-10-27 18:15:00,207.176,207.556,205.756,206.056,4.22
2023-10-27 18:30:00,206.056,207.567,205.796,207.286,4.34
2023-10-27 18:45:00,207.296,207.737,206.126,206.466,4.53
2023-10-27 19:00:00,206.466,207.266,206.287,206.896,4.59
2023-10-27 19:15:00,206.886,207.477,206.806,207.326,4.76
2023-10-27 19:30:00,207.317,207.737,206.106,206.206,5.39
2023-10-27 19:45:00,206.226,207.397,205.926,207.217,5.34
2023-10-30 13:30:00,209.247,210.826,207.546,209.396,7.05
2023-10-30 13:45:00,209.397,209.957,206.246,206.747,5.66
2023-10-30 14:00:00,206.747,206.826,204.466,204.917,6.25
2023-10-30 14:15:00,204.916,204.947,201.386,201.436,6.06
2023-10-30 14:30:00,201.426,201.427,198.026,198.047,5.97
2023-10-30 14:45:00,198.046,201.697,197.996,199.326,5.59
2023-10-30 15:00:00,199.326,200.787,199.096,199.696,4.69
2023-10-30 15:15:00,199.706,199.716,196.896,198.297,4.27
2023-10-30 15:30:00,198.296,198.827,196.826,197.786,3.27
2023-10-30 15:45:00,197.797,199.397,197.396,199.337,3.1
2023-10-30 16:00:00,199.316,199.976,198.696,199.547,2.87
2023-10-30 16:15:00,199.546,199.877,197.686,198.167,2.76
2023-10-30 16:30:00,198.167,198.586,196.016,196.037,3.04
2023-10-30 16:45:00,196.066,196.596,194.616,195.906,4.15
2023-10-30 17:00:00,195.896,196.427,195.306,195.567,3.82
2023-10-30 17:15:00,195.576,196.786,195.226,196.577,3.79
2023-10-30 17:30:00,196.577,197.317,196.276,197.297,3.92
2023-10-30 17:45:00,197.296,198.327,196.906,198.136,3.16
2023-10-30 18:00:00,198.117,198.427,196.496,196.526,3.61
2023-10-30 18:15:00,196.517,196.847,195.757,195.766,3.26
2023-10-30 18:30:00,195.766,196.856,195.547,196.636,3.17
2023-10-30 18:45:00,196.657,197.146,196.006,196.347,3.32
2023-10-30 19:00:00,196.346,197.357,196.206,197.226,4.33
2023-10-30 19:15:00,197.226,198.867,197.146,198.077,4.24
2023-10-30 19:30:00,198.086,198.187,197.106,197.357,4.49
2023-10-30 19:45:00,197.317,197.826,196.907,197.196,4.73
2023-10-31 13:30:00,196.006,198.077,194.046,196.406,7.38
2023-10-31 13:45:00,196.376,198.967,196.226,198.726,6.19
2023-10-31 14:00:00,198.666,200.706,197.436,199.276,5.98
2023-10-31 14:15:00,199.266,201.117,198.937,199.167,5.37
2023-10-31 14:30:00,199.187,199.727,197.326,198.907,5.31
2023-10-31 14:45:00,198.907,199.546,197.866,198.206,4.63
2023-10-31 15:00:00,198.196,199.457,198.076,198.576,4.31
2023-10-31 15:15:00,198.516,198.617,196.346,196.517,4.24
2023-10-31 15:30:00,196.557,197.896,196.496,197.187,4.05
2023-10-31 15:45:00,197.186,198.096,196.896,197.876,3.48
2023-10-31 16:00:00,197.877,198.797,197.656,197.676,3.15
2023-10-31 16:15:00,197.667,197.957,197.206,197.677,3.15
2023-10-31 16:30:00,197.667,199.117,197.046,198.737,3.36
2023-10-31 16:45:00,198.746,199.367,198.636,199.136,2.87
2023-10-31 17:00:00,199.137,199.366,198.396,198.896,3.07
2023-10-31 17:15:00,198.906,199.717,198.836,199.717,2.6
